Today,pct change,direction
8368.9296875,,
8244.365234375,-0.014884155773354335,-1.0
8576.537109375,0.040290776252246197,1.0
8535.0166015625,-0.004841173924043818,-1.0
8442.74609375,-0.010810817614063883,-1.0
8562.6962890625,0.014207485808592102,1.0
8696.4892578125,0.015625098010412897,1.0
8770.3046875,0.008487957323834783,1.0
8654.966796875,-0.01315095595132365,-1.0
8654.966796875,0.0,0.0
8442.74609375,-0.02452010598141463,-1.0
8378.15625,-0.007650335925394547,-1.0
8447.3583984375,0.00825983025053989,1.0
8258.2041015625,-0.022392124017135084,-1.0
8156.7060546875,-0.012290571367180925,-1.0
8212.068359375,0.006787336005039002,1.0
8212.068359375,0.0,0.0
8129.025390625,-0.01011230850936562,-1.0
8105.958984375,-0.002837536499344928,-1.0
8179.775390625,0.00910643717693227,1.0
8138.25341796875,-0.005076175160486529,-1.0
7981.39306640625,-0.019274449136243654,-1.0
8253.5908203125,0.03410404069083284,1.0
8295.11328125,0.005030835892095631,1.0
8295.11328125,0.0,0.0
8253.5908203125,-0.005005653271951793,-1.0
8036.755859375,-0.026271590833393144,-1.0
7935.25830078125,-0.012629170323166128,-1.0
7935.25830078125,0.0,0.0
8036.755859375,0.012790706331986312,1.0
7861.44140625,-0.021814082223300724,-1.0
7566.17626953125,-0.037558651328751025,-1.0
7529.2685546875,-0.004877987708583609,-1.0
7847.6005859375,0.0422792770556466,1.0
7847.6005859375,0.0,0.0
7815.30615234375,-0.0041151984278634535,-1.0
7861.44140625,0.005903192147170611,1.0
7861.44140625,0.0,0.0
7999.84765625,0.017605709035745543,1.0
7935.25830078125,-0.008073823183156303,-1.0
8064.43701171875,0.016279080786164357,1.0
8152.0927734375,0.010869421088090192,1.0
8202.84375,0.006225515088329914,1.0
8175.1611328125,-0.003374758563150726,-1.0
8092.11669921875,-0.01015814027939288,-1.0
8059.8232421875,-0.003990730513608098,-1.0
8115.18408203125,0.006868741184542948,1.0
7676.90087890625,-0.05400779559584512,-1.0
7764.5576171875,0.01141824541751002,1.0
8207.4560546875,0.057041039468830324,1.0
8401.2236328125,0.02360872563116967,1.0
8401.2236328125,0.0,0.0
8511.9482421875,0.01317958123892149,1.0
8590.37890625,0.009214184794237523,1.0
8691.8759765625,0.011815202963707971,1.0
8498.107421875,-0.022293064835484766,-1.0
8401.2236328125,-0.011400631252684756,-1.0
8525.7890625,0.014827057953913592,1.0
8604.21875,0.009199111885721756,1.0
8687.2626953125,0.0096515381262825,1.0
8687.2626953125,0.0,0.0
8488.8798828125,-0.022836055436316394,-1.0
8502.7216796875,0.0016305798958264894,1.0
8701.1005859375,0.023331224250690896,1.0
8678.033203125,-0.0026510879382064534,-1.0
8544.2431640625,-0.015417092321601378,-1.0
8447.3583984375,-0.011339186369660248,-1.0
8276.658203125,-0.020207523732398314,-1.0
7939.87060546875,-0.040691253570080965,-1.0
